url,directory,sparse_paths,ref
https://github.com/openai/codex.git,openai-codex,,
https://github.com/github/copilot-cli.git,github-copilot-cli,,
https://github.com/Aider-AI/aider.git,aider-ai,,
https://github.com/aaif-goose/goose.git,aaif-goose,,
https://github.com/augmentcode/auggie.git,augmentcode-auggie,,
https://github.com/cline/cline.git,cline-cline,,
https://github.com/Hmbown/CodeWhale.git,hmbown-codewhale,,
https://github.com/google-antigravity/antigravity-cli.git,google-antigravity-cli,,
https://github.com/anthropics/claude-code.git,anthropics-claude-code,,
https://github.com/anomalyco/opencode.git,anomalyco-opencode,,
https://github.com/xai-org/grok-build.git,xai-org-grok-build,,
https://github.com/kirodotdev/Kiro.git,kirodotdev-kiro,,
https://github.com/aws/amazon-q-developer-cli.git,aws-amazon-q-developer-cli,,
https://github.com/charmbracelet/crush.git,charmbracelet-crush,,
https://github.com/MoonshotAI/kimi-code.git,moonshotai-kimi-code,,
https://github.com/QwenLM/qwen-code.git,qwenlm-qwen-code,,
